analysis_drug_name,a_psss,b_psss,c_psss,d_psss,total_exposed_psss,ror_psss,lower_ci_psss,upper_ci_psss,se_logror_psss,a_ps,b_ps,c_ps,d_ps,total_exposed_ps,ror_ps,lower_ci_ps,upper_ci_ps,se_logror_ps,total_exposed_psss_for_broad,shock_count_psss,broad_count_psss,pubchem_cid,canonical_smiles,inchikey,in_scope,exclude_reason,n_raw_names_mapped,raw_names_mapped,expected_shock,expected_broad,positive_high_flag,positive_moderate_flag,negative_high_flag,negative_moderate_flag,negative_expanded_flag,faers_signal_class,structure_available,in_scope_bool,usable_for_model,model_label,label_weight
.DELTA.8-TETRAHYDROCANNABINOL\CANNABIDIOL\HERBALS,0.0,1.0,543.0,399970.0,1.0,245.30542778288867,9.981486085384947,6028.636656404793,1.633557190077531,0.0,1.0,543.0,399970.0,1.0,245.30542778288867,9.981486085384947,6028.636656404793,1.633557190077531,1,0,0,,,,,,,,0.0013557578511612578,0.004946144204696965,False,False,False,False,False,uncertain,False,,False,,
.DELTA.8-TETRAHYDROCANNABINOL\HERBALS,0.0,10.0,543.0,399961.0,10.0,35.04284400052569,2.0508136365112293,598.7871807475451,1.448130008625499,0.0,7.0,543.0,399964.0,7.0,49.06034958601656,2.7984116897526703,860.1014319358002,1.4612240622020198,10,0,0,,,,,,,,0.013557578511612578,0.049461442046969645,False,False,False,False,False,uncertain,False,,False,,
.DELTA.9-TETRAHYDROCANNABINOLIC ACID\HERBALS,0.0,1.0,543.0,399970.0,1.0,245.30542778288867,9.981486085384947,6028.636656404793,1.633557190077531,0.0,1.0,543.0,399970.0,1.0,245.30542778288867,9.981486085384947,6028.636656404793,1.633557190077531,1,0,0,,,,,,,,0.0013557578511612578,0.004946144204696965,False,False,False,False,False,uncertain,False,,False,,
.DELTA.9-TETRAHYDROCANNABINOL\CANNABIDIOL\HERBALS,0.0,8.0,543.0,399963.0,8.0,43.288435521402675,2.4953427032235433,750.9544270091255,1.4558466558860583,0.0,2.0,543.0,399969.0,2.0,147.18288868445262,7.057506052399466,3069.4699459924545,1.5497878650297865,8,0,0,,,,,,,,0.010846062809290062,0.03956915363757572,False,False,False,False,False,uncertain,False,,False,,
.DELTA.9-TETRAHYDROCANNABINOL\HERBALS,0.0,3.0,543.0,399968.0,3.0,105.13037192798002,5.423632055238952,2037.82170124158,1.5124670946219358,0.0,1.0,543.0,399970.0,1.0,245.30542778288867,9.981486085384947,6028.636656404793,1.633557190077531,3,0,0,,,,,,,,0.004067273553483773,0.014838432614090895,False,False,False,False,False,uncertain,False,,False,,
"1,3,5-TRIMETHOXYBENZENE",0.0,1.0,543.0,399970.0,1.0,245.30542778288867,9.981486085384947,6028.636656404793,1.633557190077531,0.0,0.0,0.0,0.0,0.0,,,,,1,0,0,,,,,,,,0.0013557578511612578,0.004946144204696965,False,False,False,False,False,uncertain,False,,False,,
11-NOR-9-CARBOXY-.DELTA-9-TETRAHYDROCANNABINOL,0.0,1.0,543.0,399970.0,1.0,245.30542778288867,9.981486085384947,6028.636656404793,1.633557190077531,0.0,0.0,0.0,0.0,0.0,,,,,1,0,0,,,,,,,,0.0013557578511612578,0.004946144204696965,False,False,False,False,False,uncertain,False,,False,,
11-NOR-9-CARBOXY-.DELTA.9-TETRAHYDROCANNABINOL,0.0,1.0,543.0,399970.0,1.0,245.30542778288867,9.981486085384947,6028.636656404793,1.633557190077531,0.0,0.0,0.0,0.0,0.0,,,,,1,0,0,,,,,,,,0.0013557578511612578,0.004946144204696965,False,False,False,False,False,uncertain,False,,False,,
"2,4-DINITROPHENOL",0.0,1.0,543.0,399970.0,1.0,245.30542778288867,9.981486085384947,6028.636656404793,1.633557190077531,0.0,0.0,0.0,0.0,0.0,,,,,1,0,0,,,,,,,,0.0013557578511612578,0.004946144204696965,False,False,False,False,False,uncertain,False,,False,,
"2-ETHYLIDENE-1,5-DIMETHYL-3,3-DIPHENYLPYRROLIDINE",0.0,1.0,543.0,399970.0,1.0,245.30542778288867,9.981486085384947,6028.636656404793,1.633557190077531,0.0,0.0,0.0,0.0,0.0,,,,,1,0,0,,,,,,,,0.0013557578511612578,0.004946144204696965,False,False,False,False,False,uncertain,False,,False,,
3-FLUOROMETHAMPHETAMINE,0.0,1.0,543.0,399970.0,1.0,245.30542778288867,9.981486085384947,6028.636656404793,1.633557190077531,0.0,0.0,0.0,0.0,0.0,,,,,1,0,0,,,,,,,,0.0013557578511612578,0.004946144204696965,False,False,False,False,False,uncertain,False,,False,,
