analysis_drug_name,model_label,faers_signal_class,final_descriptor_rf_prob_positive,feature,feature_description,feature_value,shap_value,abs_shap_value
AMOXICILLIN,1,positive_high,0.8547030669464544,NumAromaticRings,Number of aromatic rings,1.0,0.009703970759351073,0.009703970759351073
AMOXICILLIN,1,positive_high,0.8547030669464544,BalabanJ,BalabanJ,1.704346483706485,0.0003395852984894324,0.0003395852984894324
AMOXICILLIN,1,positive_high,0.8547030669464544,NumHAcceptors,Number of hydrogen-bond acceptors,6.0,-0.004620395989267733,0.004620395989267733
AMOXICILLIN,1,positive_high,0.8547030669464544,BertzCT,BertzCT,735.790664638169,0.0003692081618113677,0.0003692081618113677
AMOXICILLIN,1,positive_high,0.8547030669464544,MolMR,Molar refractivity,90.69370000000004,0.01239847092382101,0.01239847092382101
AMOXICILLIN,1,positive_high,0.8547030669464544,NumHeteroatoms,Number of heteroatoms,9.0,-0.0012069730473472833,0.0012069730473472833
AMOXICILLIN,1,positive_high,0.8547030669464544,NHOHCount,Number of NH or OH groups,5.0,0.018429212427881436,0.018429212427881436
AMOXICILLIN,1,positive_high,0.8547030669464544,fr_piperzine,RDKit fragment count: piperzine,0.0,0.006931117796034075,0.006931117796034075
AMOXICILLIN,1,positive_high,0.8547030669464544,fr_ketone_Topliss,RDKit fragment count: ketone_Topliss,0.0,-0.004805163614409043,0.004805163614409043
AMOXICILLIN,1,positive_high,0.8547030669464544,HeavyAtomCount,Number of heavy atoms,25.0,0.0018887027719782115,0.0018887027719782115
AMOXICILLIN,1,positive_high,0.8547030669464544,NOCount,Number of nitrogen or oxygen atoms,8.0,0.0002877621053437878,0.0002877621053437878
AMOXICILLIN,1,positive_high,0.8547030669464544,fr_ketone,RDKit fragment count: ketone,0.0,-0.004446539943568147,0.004446539943568147
AMOXICILLIN,1,positive_high,0.8547030669464544,HeavyAtomMolWt,Heavy-atom molecular weight,346.25900000000007,0.004736314598231863,0.004736314598231863
AMOXICILLIN,1,positive_high,0.8547030669464544,ExactMolWt,Exact molecular weight,365.104541708,0.009540112119619162,0.009540112119619162
AMOXICILLIN,1,positive_high,0.8547030669464544,fr_para_hydroxylation,RDKit fragment count: para_hydroxylation,0.0,-0.0032781673975405086,0.0032781673975405086
AMOXICILLIN,1,positive_high,0.8547030669464544,MolWt,Molecular weight,365.4110000000001,0.006806346078026081,0.006806346078026081
AMOXICILLIN,1,positive_high,0.8547030669464544,fr_C_O,RDKit fragment count: C_O,3.0,0.016598777613682787,0.016598777613682787
AMOXICILLIN,1,positive_high,0.8547030669464544,fr_benzene,RDKit fragment count: benzene,1.0,0.0036908716942896337,0.0036908716942896337
AMOXICILLIN,1,positive_high,0.8547030669464544,fr_Al_OH_noTert,RDKit fragment count: Al_OH_noTert,0.0,-0.004455194786481099,0.004455194786481099
AMOXICILLIN,1,positive_high,0.8547030669464544,fr_C_O_noCOO,RDKit fragment count: C_O_noCOO,2.0,0.010984443279638167,0.010984443279638167
AMOXICILLIN,1,positive_high,0.8547030669464544,NumRotatableBonds,Number of rotatable bonds,4.0,0.0042230623864632005,0.0042230623864632005
AMOXICILLIN,1,positive_high,0.8547030669464544,fr_Al_COO,RDKit fragment count: Al_COO,1.0,0.018478089160364027,0.018478089160364027
CEFTRIAXONE,1,positive_high,0.885106493408048,MolLogP,Calculated octanol/water partition coefficient,-1.6112999999999957,0.05695888617667163,0.05695888617667163
CEFTRIAXONE,1,positive_high,0.885106493408048,FractionCSP3,Fraction of sp3 carbons,0.3333333333333333,0.014768636724926043,0.014768636724926043
CEFTRIAXONE,1,positive_high,0.885106493408048,RingCount,Number of rings,4.0,-0.0027081462708607325,0.0027081462708607325
CEFTRIAXONE,1,positive_high,0.885106493408048,TPSA,Topological polar surface area,214.95999999999998,0.057924581444848425,0.057924581444848425
CEFTRIAXONE,1,positive_high,0.885106493408048,fr_NH0,RDKit fragment count: NH0,5.0,-0.024234807367239753,0.024234807367239753
CEFTRIAXONE,1,positive_high,0.885106493408048,fr_Al_OH,RDKit fragment count: Al_OH,0.0,-0.007031517461182635,0.007031517461182635
CEFTRIAXONE,1,positive_high,0.885106493408048,fr_bicyclic,RDKit fragment count: bicyclic,1.0,-0.004875994893471927,0.004875994893471927
CEFTRIAXONE,1,positive_high,0.885106493408048,NumHDonors,Number of hydrogen-bond donors,4.0,0.03634587317436038,0.03634587317436038
CEFTRIAXONE,1,positive_high,0.885106493408048,NumAromaticRings,Number of aromatic rings,2.0,0.008900680832758015,0.008900680832758015
CEFTRIAXONE,1,positive_high,0.885106493408048,BalabanJ,BalabanJ,1.5118461639349998,-0.004319781922323969,0.004319781922323969
