feature,feature_description,feature_category,mean_abs_shap,mean_shap,mean_value_all,mean_value_positive,mean_value_negative,positive_minus_negative_mean,nonzero_count
MolLogP,Calculated octanol/water partition coefficient,lipophilicity_refractivity,0.037970402743107756,0.002449562193117656,2.098999622641511,1.1681257627118657,3.267543404255321,-2.0994176415434556,106
FractionCSP3,Fraction of sp3 carbons,saturation,0.029998297170643513,0.0032990422145468402,0.45592492837780996,0.5256877548308776,0.3683503164473633,0.15733743838351427,104
RingCount,Number of rings,other_rdkit_descriptor,0.018853792667584336,0.0018538399073400075,3.0849056603773586,2.830508474576271,3.404255319148936,-0.573746844572665,102
TPSA,Topological polar surface area,polar_surface_area,0.017567431650237227,0.0023921700227704764,92.41858490566038,104.27644067796611,77.53319148936171,26.743249188604395,106
fr_NH0,RDKit fragment count: NH0,RDKit_fragment_count,0.01515004459200532,0.0021265127881765888,1.820754716981132,1.4406779661016949,2.297872340425532,-0.8571943743238373,70
fr_Al_OH,RDKit fragment count: Al_OH,RDKit_fragment_count,0.014012310542327803,-0.00015974106519849192,0.7358490566037735,1.1016949152542372,0.2765957446808511,0.8250991705733861,35
fr_bicyclic,RDKit fragment count: bicyclic,RDKit_fragment_count,0.01391735219090165,0.002030625326831062,1.179245283018868,1.2372881355932204,1.1063829787234043,0.13090515686981608,55
NumHDonors,Number of hydrogen-bond donors,atom_bond_ring_count,0.013427977430833573,0.001400184485564575,2.0943396226415096,2.5762711864406778,1.4893617021276595,1.0869094843130183,90
NumAromaticRings,Number of aromatic rings,atom_bond_ring_count,0.012721829548549569,0.001203612291214251,1.6981132075471699,1.3220338983050848,2.1702127659574466,-0.8481788676523618,84
BalabanJ,BalabanJ,other_rdkit_descriptor,0.012277400684212162,0.0005483819590304326,1.9017103337165615,1.9206097289030881,1.8779855610356027,0.04262416786748546,105
NumHAcceptors,Number of hydrogen-bond acceptors,atom_bond_ring_count,0.012129300734782985,-0.0004047588209610551,5.349056603773585,5.796610169491525,4.787234042553192,1.0093761269383332,106
BertzCT,BertzCT,other_rdkit_descriptor,0.011834990645274542,-0.00038359032197231275,828.7843159326503,777.4535766101573,893.2207759332262,-115.7671993230689,106
MolMR,Molar refractivity,lipophilicity_refractivity,0.010949409359321817,0.0009912110809774121,100.36920188679247,98.25746779661016,103.02010212765956,-4.762634331049398,106
NumHeteroatoms,Number of heteroatoms,atom_bond_ring_count,0.010505081237225064,0.0012488420873774618,7.660377358490566,8.35593220338983,6.787234042553192,1.5686981608366386,106
NHOHCount,Number of NH or OH groups,atom_bond_ring_count,0.010192987857136886,0.000511059220302088,2.3679245283018866,2.8983050847457625,1.702127659574468,1.1961774251712944,90
