bit,bit_shap,center_atom,radius,n_atoms_in_environment,environment_atoms,per_environment_value,per_atom_value,analysis_drug_name,model_label,faers_signal_class,final_rf_prob_positive,selection_reason
1057,0.00012097169406166745,0,0,1,0,4.032389802055582e-05,4.032389802055582e-05,METHYLPREDNISOLONE,1,positive_moderate,0.827511305466735,additional_high_probability
1057,0.00012097169406166745,19,0,1,19,4.032389802055582e-05,4.032389802055582e-05,METHYLPREDNISOLONE,1,positive_moderate,0.827511305466735,additional_high_probability
1057,0.00012097169406166745,21,0,1,21,4.032389802055582e-05,4.032389802055582e-05,METHYLPREDNISOLONE,1,positive_moderate,0.827511305466735,additional_high_probability
1060,-0.002460659101502576,7,0,1,7,-0.0008202197005008587,-0.0008202197005008587,METHYLPREDNISOLONE,1,positive_moderate,0.827511305466735,additional_high_probability
1060,-0.002460659101502576,8,0,1,8,-0.0008202197005008587,-0.0008202197005008587,METHYLPREDNISOLONE,1,positive_moderate,0.827511305466735,additional_high_probability
1060,-0.002460659101502576,12,0,1,12,-0.0008202197005008587,-0.0008202197005008587,METHYLPREDNISOLONE,1,positive_moderate,0.827511305466735,additional_high_probability
1154,0.002880459296874455,26,1,2,"7,26",0.002880459296874455,0.0014402296484372274,METHYLPREDNISOLONE,1,positive_moderate,0.827511305466735,additional_high_probability
1162,-0.006735954869691361,6,1,3,"5,6,7",-0.006735954869691361,-0.0022453182898971203,METHYLPREDNISOLONE,1,positive_moderate,0.827511305466735,additional_high_probability
1223,0.0009467093409551872,11,2,11,"2,3,4,9,10,11,12,13,18,19,20",0.0009467093409551872,8.606448554138066e-05,METHYLPREDNISOLONE,1,positive_moderate,0.827511305466735,additional_high_probability
1257,0.010937009513169864,20,1,2,"10,20",0.010937009513169864,0.005468504756584932,METHYLPREDNISOLONE,1,positive_moderate,0.827511305466735,additional_high_probability
1274,-0.0017265091190807192,19,1,2,"12,19",-0.0008632545595403596,-0.0004316272797701798,METHYLPREDNISOLONE,1,positive_moderate,0.827511305466735,additional_high_probability
1274,-0.0017265091190807192,21,1,2,"8,21",-0.0008632545595403596,-0.0004316272797701798,METHYLPREDNISOLONE,1,positive_moderate,0.827511305466735,additional_high_probability
1292,0.004352057476966542,2,1,3,"1,2,3",0.004352057476966542,0.001450685825655514,METHYLPREDNISOLONE,1,positive_moderate,0.827511305466735,additional_high_probability
1307,0.0028702500330245176,7,2,11,"4,5,6,7,8,9,21,22,23,24,26",0.0028702500330245176,0.00026093182118404703,METHYLPREDNISOLONE,1,positive_moderate,0.827511305466735,additional_high_probability
1309,0.004394577375170886,0,1,2,"0,1",0.004394577375170886,0.002197288687585443,METHYLPREDNISOLONE,1,positive_moderate,0.827511305466735,additional_high_probability
1325,-0.004083686109566362,5,1,3,"4,5,6",-0.004083686109566362,-0.0013612287031887873,METHYLPREDNISOLONE,1,positive_moderate,0.827511305466735,additional_high_probability
1380,-0.002882801906254255,13,0,1,13,-0.0014414009531271276,-0.0014414009531271276,METHYLPREDNISOLONE,1,positive_moderate,0.827511305466735,additional_high_probability
1380,-0.002882801906254255,15,0,1,15,-0.0014414009531271276,-0.0014414009531271276,METHYLPREDNISOLONE,1,positive_moderate,0.827511305466735,additional_high_probability
1436,0.0048084855162045985,8,1,5,"4,7,8,9,21",0.0048084855162045985,0.0009616971032409197,METHYLPREDNISOLONE,1,positive_moderate,0.827511305466735,additional_high_probability
1489,0.003912593671879854,10,2,7,"3,8,9,10,11,12,20",0.003912593671879854,0.0005589419531256934,METHYLPREDNISOLONE,1,positive_moderate,0.827511305466735,additional_high_probability
1531,0.0005359786896003965,4,2,10,"2,3,4,5,6,7,8,9,11,21",0.0005359786896003965,5.3597868960039654e-05,METHYLPREDNISOLONE,1,positive_moderate,0.827511305466735,additional_high_probability
1604,-2.5928498430734538e-05,6,2,7,"4,5,6,7,8,22,26",-2.5928498430734538e-05,-3.704071204390648e-06,METHYLPREDNISOLONE,1,positive_moderate,0.827511305466735,additional_high_probability
