bit,mean_abs_shap,mean_shap,all_freq,pos_freq,neg_freq,pos_minus_neg_freq,n_on,n_pos_on,n_neg_on,example_positive_drugs,example_negative_drugs
1480,0.005915891058839596,0.0002557629816765656,0.2358490526676178,0.16949152946472168,0.3191489279270172,-0.14965739846229553,25,10,15,ROCURONIUM | APREPITANT | DROPERIDOL | HYDROMORPHONE | IFOSFAMIDE | MORPHINE | REMIFENTANIL | SUFENTANIL | VINBLASTINE | VINCRISTINE,CLOZAPINE | PALBOCICLIB | PIMAVANSERIN | ABEMACICLIB | IBRUTINIB | OLANZAPINE | QUETIAPINE | ARIPIPRAZOLE | CLOPIDOGREL | MIRTAZAPINE | NINTEDANIB | RISPERIDONE | SPIRONOLACTONE | TROFINETIDE | VENETOCLAX
650,0.005725231530826798,0.0003250556193549225,0.7924528121948242,0.8644067645072937,0.7021276354789734,0.1622791290283203,84,51,33,ACETAMINOPHEN | AMOXICILLIN | CEFTRIAXONE | CEFUROXIME | DEXAMETHASONE | DICLOFENAC | IOPROMIDE | LIDOCAINE | ONDANSETRON | PACLITAXEL | ROCURONIUM | APREPITANT | AZITHROMYCIN | BENDAMUSTINE | BORTEZOMIB | BUDESONIDE | CEFAZOLIN | CHLORHEXIDINE GLUCONATE | CYCLOPHOSPHAMIDE | CYTARABINE,CABOZANTINIB | PALBOCICLIB | PIMAVANSERIN | POMALIDOMIDE | RELUGOLIX | APREMILAST | AZATHIOPRINE | IBRUTINIB | TREPROSTINIL | ADAPALENE | AMBRISENTAN | ARIPIPRAZOLE | AZACITIDINE | CANDESARTAN | CLOPIDOGREL | COCAINE | HYDROCHLOROTHIAZIDE | ISOTRETINOIN | LACOSAMIDE | LEVONORGESTREL
486,0.005276720954165888,-9.932983953373532e-05,0.09433962404727936,0.1525423675775528,0.021276595070958138,0.1312657743692398,10,9,1,IOPROMIDE | PACLITAXEL | AZITHROMYCIN | BORTEZOMIB | HYDROMORPHONE | IOPAMIDOL | LEVOLEUCOVORIN | MORPHINE | ZOLEDRONIC ACID,VENETOCLAX
207,0.005270303329924525,0.0009947307022562864,0.056603774428367615,0.0,0.12765957415103912,-0.12765957415103912,6,0,6,,CLOZAPINE | PIMAVANSERIN | OLANZAPINE | HYDROCHLOROTHIAZIDE | MIRTAZAPINE | NINTEDANIB
656,0.005122615182135085,4.5615784506092944e-05,0.21698112785816193,0.2881355881690979,0.12765957415103912,0.16047601401805878,23,17,6,CEFUROXIME | PACLITAXEL | ROCURONIUM | APREPITANT | AZITHROMYCIN | BUDESONIDE | CYCLOPHOSPHAMIDE | CYTARABINE | DOXORUBICIN | ETOPOSIDE | FLUDARABINE | HYDROMORPHONE | IFOSFAMIDE | ISOSORBIDE DINITRATE | MORPHINE | NEMTABRUTINIB | SUFENTANIL,AZACITIDINE | RISPERIDONE | SPARSENTAN | SPIRONOLACTONE | TAFAMIDIS | VENETOCLAX
841,0.004859751544782022,-6.522977656343386e-05,0.2641509473323822,0.23728813230991364,0.2978723347187042,-0.06058420240879059,28,14,14,CEFTRIAXONE | CEFUROXIME | IOPROMIDE | AZITHROMYCIN | DOXORUBICIN | ENCORAFENIB | ETOPOSIDE | HYDROCORTISONE | NAPROXEN | REMIFENTANIL | SUFENTANIL | TECFIDERA | VINBLASTINE | VINCRISTINE,CABOZANTINIB | RELUGOLIX | APREMILAST | ADAPALENE | AMBRISENTAN | CLOPIDOGREL | COCAINE | LACOSAMIDE | LEVONORGESTREL | NINTEDANIB | OSIMERTINIB | RIOCIGUAT | SPIRONOLACTONE | VENLAFAXINE
1236,0.0048497377463724905,0.0004721934103482304,0.09433962404727936,0.033898305147886276,0.1702127605676651,-0.13631445169448853,10,2,8,HYDROMORPHONE | MORPHINE,CLOZAPINE | PIMAVANSERIN | OLANZAPINE | TREPROSTINIL | ARIPIPRAZOLE | CLOPIDOGREL | MIRTAZAPINE | NINTEDANIB
1840,0.004838606282183694,0.0005048450552044835,0.07547169923782349,0.016949152573943138,0.1489361673593521,-0.13198702037334442,8,1,7,MIDAZOLAM,RELUGOLIX | ABEMACICLIB | CLOPIDOGREL | FLUCONAZOLE | LISDEXAMFETAMINE | MIRTAZAPINE | RIOCIGUAT
807,0.004566744227714908,0.00021756063297475095,0.7735849022865295,0.8474576473236084,0.6808510422706604,0.166606605052948,82,50,32,ACETAMINOPHEN | AMOXICILLIN | CEFTRIAXONE | CEFUROXIME | DEXAMETHASONE | DICLOFENAC | IOPROMIDE | LIDOCAINE | PACLITAXEL | PROPOFOL | ROCURONIUM | ALBUTEROL | AZITHROMYCIN | BENDAMUSTINE | BORTEZOMIB | BUDESONIDE | CEFAZOLIN | CHLORHEXIDINE GLUCONATE | CYTARABINE | DEXAMETHASONE ACETATE,CABOZANTINIB | PALBOCICLIB | PIMAVANSERIN | RELUGOLIX | APREMILAST | IBRUTINIB | QUETIAPINE | TREPROSTINIL | ADAPALENE | AMBRISENTAN | AZACITIDINE | CANDESARTAN | CHOLECALCIFEROL | CLOPIDOGREL | COCAINE | ERGOCALCIFEROL | FLUCONAZOLE | ISOTRETINOIN | LACOSAMIDE | LEVONORGESTREL
227,0.004468942140147486,-0.00039934172163969765,0.11320754885673523,0.16949152946472168,0.042553190141916275,0.1269383430480957,12,10,2,IOPROMIDE | PACLITAXEL | ALBUTEROL | BORTEZOMIB | CHLORHEXIDINE GLUCONATE | EPHEDRINE | ETOPOSIDE | IOPAMIDOL | LABETALOL | TREOSULFAN,TREPROSTINIL | PSEUDOEPHEDRINE
926,0.004348119860691286,8.251315954611242e-05,0.5660377144813538,0.5423728823661804,0.5957446694374084,-0.05337178707122803,60,32,28,CEFTRIAXONE | CEFUROXIME | DEXAMETHASONE | ONDANSETRON | PACLITAXEL | ROCURONIUM | APREPITANT | AZITHROMYCIN | BUDESONIDE | CEFAZOLIN | CYCLOPHOSPHAMIDE | DEXAMETHASONE ACETATE | DOXORUBICIN | DROPERIDOL | ETOPOSIDE | GABAPENTIN | GLYCOPYRROLATE | HYDROCORTISONE | HYDROMORPHONE | IFOSFAMIDE,CABOZANTINIB | CLOZAPINE | PALBOCICLIB | PIMAVANSERIN | POMALIDOMIDE | ABEMACICLIB | ALPRAZOLAM | IBRUTINIB | OLANZAPINE | QUETIAPINE | TREPROSTINIL | ADAPALENE | ARIPIPRAZOLE | CHOLECALCIFEROL | CLOPIDOGREL | COCAINE | ERGOCALCIFEROL | HYDROCHLOROTHIAZIDE | ISOTRETINOIN | LEVONORGESTREL
1873,0.004121372672068611,-0.00028125022555082555,0.8396226167678833,0.7796609997749329,0.914893627166748,-0.13523262739181519,89,46,43,ACETAMINOPHEN | AMOXICILLIN | CEFTRIAXONE | CEFUROXIME | DEXAMETHASONE | DICLOFENAC | LIDOCAINE | ONDANSETRON | PACLITAXEL | PROPOFOL | ALBUTEROL | APREPITANT | BENDAMUSTINE | BORTEZOMIB | BUDESONIDE | CEFAZOLIN | CHLORHEXIDINE GLUCONATE | CYTARABINE | DEXAMETHASONE ACETATE | DEXCHLORPHENIRAMINE,CABOZANTINIB | CLOZAPINE | PALBOCICLIB | PIMAVANSERIN | POMALIDOMIDE | RELUGOLIX | ABEMACICLIB | ALPRAZOLAM | APREMILAST | AZATHIOPRINE | IBRUTINIB | OLANZAPINE | QUETIAPINE | TREPROSTINIL | ADAPALENE | AMBRISENTAN | ARIPIPRAZOLE | AZACITIDINE | CANDESARTAN | CLOPIDOGREL
