scenario,split_type,analysis_drug_name,model_label,faers_signal_class,mean_prob_positive,sd_prob_positive,median_prob_positive,n_predictions,mean_pred_0_5,mean_pred_train_youden,potential_false_positive,potential_false_negative
main_all_labels,random,MELPHALAN,1,positive_moderate,0.5945134556813556,0.02725091673838261,0.5907758539825114,20,1.0,0.9,False,False
main_all_labels,random,VINBLASTINE,1,positive_moderate,0.5941154851351007,0.07009244259557565,0.6157984143782087,20,0.8,0.75,False,False
main_all_labels,random,DOXORUBICIN,1,positive_moderate,0.5813515259601776,0.03292831491503754,0.5859811385799012,20,1.0,0.8,False,False
main_all_labels,random,AMBRISENTAN,0,negative_expanded,0.5795940699084791,0.04529661398566464,0.577658822965236,20,1.0,0.65,False,False
main_all_labels,random,MORPHINE,1,positive_moderate,0.576682665763101,0.04910667428082985,0.5818751966537212,20,0.95,0.65,False,False
main_all_labels,random,LACOSAMIDE,0,negative_expanded,0.5759427880257578,0.028203333642398142,0.5822577265885793,20,1.0,0.8,False,False
main_all_labels,random,COCAINE,0,negative_expanded,0.5690722562405904,0.03593686276008439,0.5668759229412703,20,1.0,0.6,False,False
main_all_labels,random,DICLOFENAC,1,positive_high,0.5688139466140195,0.04960692296242908,0.5767651906946728,20,0.95,0.7,False,False
main_all_labels,random,BENDAMUSTINE,1,positive_moderate,0.5658607324640845,0.029105236304496178,0.5661482194397742,20,1.0,0.7,False,False
main_all_labels,random,AZATHIOPRINE,0,negative_moderate,0.5628605218865297,0.030786164138760255,0.5611694955706543,20,1.0,0.6,False,False
main_all_labels,random,HYDROMORPHONE,1,positive_moderate,0.5603783989860679,0.05393207904130774,0.5713368404659434,20,0.8,0.65,False,False
main_all_labels,random,LEVOLEUCOVORIN,1,positive_moderate,0.5601283472016777,0.02780882178622746,0.5589038369845949,20,1.0,0.6,False,False
main_all_labels,random,PACLITAXEL,1,positive_high,0.5568464248092919,0.033800841054404666,0.5574733022685738,20,0.95,0.65,False,False
main_all_labels,random,METHAMPHETAMINE,0,negative_expanded,0.5566923454873046,0.04429526760962306,0.5515254864155905,20,1.0,0.5,False,False
main_all_labels,random,CYTARABINE,1,positive_moderate,0.5550419853568365,0.05340588001064114,0.5359921469907001,20,0.95,0.7,False,False
main_all_labels,random,GLYCOPYRROLATE,1,positive_moderate,0.5524700877314315,0.04189363772440808,0.5548797139256418,20,0.9,0.6,False,False
main_all_labels,random,PROPOFOL,1,positive_high,0.5518431492018664,0.0442239989815269,0.5587880692081916,20,0.9,0.55,False,False
main_all_labels,random,DIPHENHYDRAMINE,1,positive_moderate,0.5489097667762297,0.0478903751540453,0.5491229203229623,20,0.9,0.5,False,False
main_all_labels,random,ETOPOSIDE,1,positive_moderate,0.546555308850704,0.031171671440992404,0.5446921561150835,20,0.95,0.4,False,False
