roc_auc,pr_auc,balanced_accuracy,accuracy,sensitivity,specificity,precision,f1,mcc,brier,tn,fp,fn,tp,threshold,scenario,split_type,fold,split_method,threshold_type,n_train,n_test,n_train_pos,n_test_pos
0.6588235294117648,0.6910913653349209,0.5656862745098039,0.5804195804195806,0.8666666666666667,0.26470588235294124,0.5652173913043479,0.6842105263157895,0.1653338499487101,0.23633206271215262,2.0,8.0,2.0,10.0,0.5,main_all_labels,random,1,random_repeated_stratified,fixed_0.5,84,22,47,12
0.6588235294117648,0.6910913653349209,0.6098039215686275,0.6223776223776225,0.8666666666666667,0.35294117647058826,0.5963302752293579,0.7065217391304348,0.2576203863077848,0.23633206271215262,3.0,7.0,2.0,10.0,0.534155642549709,main_all_labels,random,1,random_repeated_stratified,train_youden,84,22,47,12
0.583743842364532,0.5917875683573888,0.5985221674876847,0.609375,0.7142857142857143,0.4827586206896553,0.6250000000000001,0.6666666666666667,0.20261022461827707,0.24238104741325453,4.0,5.0,4.0,8.0,0.5,main_all_labels,random,2,random_repeated_stratified,fixed_0.5,85,21,47,12
0.583743842364532,0.5917875683573888,0.6502463054187192,0.6562500000000001,0.7142857142857143,0.5862068965517243,0.6756756756756758,0.6944444444444445,0.3028893994409716,0.24238104741325453,5.0,4.0,4.0,8.0,0.5330494546991211,main_all_labels,random,2,random_repeated_stratified,train_youden,85,21,47,12
0.6857142857142857,0.811611476605979,0.6071428571428572,0.6153846153846154,0.7142857142857143,0.5000000000000001,0.6250000000000001,0.6666666666666667,0.21957751641341997,0.23259907377595523,4.0,5.0,4.0,8.0,0.5,main_all_labels,random,3,random_repeated_stratified,fixed_0.5,85,21,47,12
0.6857142857142857,0.811611476605979,0.6357142857142857,0.6307692307692307,0.5714285714285714,0.7000000000000002,0.6896551724137933,0.625,0.27220742115409485,0.23259907377595523,6.0,3.0,6.0,6.0,0.583835671190288,main_all_labels,random,3,random_repeated_stratified,train_youden,85,21,47,12
0.7813852813852814,0.7766877319322352,0.7056277056277056,0.7058823529411765,0.7142857142857143,0.6969696969696971,0.7142857142857144,0.7142857142857143,0.4112554112554114,0.19816858139932067,6.0,3.0,3.0,9.0,0.5,main_all_labels,random,4,random_repeated_stratified,fixed_0.5,85,21,47,12
0.7813852813852814,0.7766877319322352,0.751082251082251,0.7500000000000001,0.7142857142857143,0.7878787878787881,0.7812500000000001,0.746268656716418,0.5028179370566229,0.19816858139932067,7.0,2.0,3.0,9.0,0.5866882901487139,main_all_labels,random,4,random_repeated_stratified,train_youden,85,21,47,12
0.8020408163265306,0.8638196450768147,0.5571428571428572,0.5571428571428572,0.8571428571428571,0.2571428571428572,0.5357142857142857,0.6593406593406593,0.14285714285714304,0.21724806149332992,3.0,7.0,2.0,9.0,0.5,main_all_labels,random,5,random_repeated_stratified,fixed_0.5,85,21,48,11
0.8020408163265306,0.8638196450768147,0.7714285714285714,0.7714285714285715,0.8571428571428571,0.6857142857142858,0.7317073170731708,0.7894736842105263,0.5510140510374546,0.21724806149332992,7.0,3.0,2.0,9.0,0.5182334648380733,main_all_labels,random,5,random_repeated_stratified,train_youden,85,21,48,11
0.7770562770562771,0.8467124110804682,0.5043290043290043,0.5147058823529412,0.8571428571428571,0.15151515151515155,0.517241379310345,0.6451612903225807,0.012217856249971838,0.22048162249009565,1.0,9.0,1.0,11.0,0.5,main_all_labels,random,6,random_repeated_stratified,fixed_0.5,84,22,47,12
0.7770562770562771,0.8467124110804682,0.6406926406926406,0.6470588235294118,0.8571428571428571,0.42424242424242437,0.6122448979591837,0.7142857142857144,0.31341337659656976,0.22048162249009565,4.0,6.0,1.0,11.0,0.5217580594550498,main_all_labels,random,6,random_repeated_stratified,train_youden,84,22,47,12
0.8523809523809525,0.8628078825202756,0.7,0.7230769230769231,1.0,0.4,0.6603773584905661,0.7954545454545454,0.5139561687500468,0.20022222366973838,4.0,5.0,0.0,12.0,0.5,main_all_labels,random,7,random_repeated_stratified,fixed_0.5,85,21,47,12
0.8523809523809525,0.8628078825202756,0.7976190476190477,0.8076923076923077,0.9285714285714286,0.6666666666666667,0.7647058823529411,0.8387096774193549,0.6237343238042664,0.20022222366973838,6.0,3.0,1.0,11.0,0.5643723656165216,main_all_labels,random,7,random_repeated_stratified,train_youden,85,21,47,12
0.6666666666666666,0.7337253912646634,0.634375,0.6474820143884893,0.8,0.4687500000000001,0.6382978723404257,0.7100591715976332,0.2862852071940779,0.23238418213753034,4.0,5.0,3.0,9.0,0.5,main_all_labels,random,8,random_repeated_stratified,fixed_0.5,85,21,47,12
0.6666666666666666,0.7337253912646634,0.6927083333333333,0.6906474820143885,0.6666666666666666,0.7187500000000001,0.735294117647059,0.6993006993006994,0.38429742901354874,0.23238418213753034,6.0,3.0,5.0,7.0,0.5492354027876528,main_all_labels,random,8,random_repeated_stratified,train_youden,85,21,47,12
0.7268817204301075,0.7252305279086069,0.721505376344086,0.7226277372262774,0.7333333333333333,0.7096774193548389,0.7534246575342467,0.7432432432432433,0.4419664743088791,0.21541510117196191,6.0,3.0,4.0,8.0,0.5,main_all_labels,random,9,random_repeated_stratified,fixed_0.5,85,21,47,12
0.7268817204301075,0.7252305279086069,0.6698924731182796,0.6569343065693432,0.5333333333333333,0.8064516129032259,0.7692307692307694,0.6299212598425197,0.34851339589208924,0.21541510117196191,7.0,2.0,6.0,6.0,0.5475031353052779,main_all_labels,random,9,random_repeated_stratified,train_youden,85,21,47,12
0.7846153846153846,0.7577416589297659,0.7604395604395604,0.762962962962963,0.6923076923076923,0.8285714285714286,0.7894736842105264,0.7377049180327869,0.5269360584031189,0.20474761802227748,8.0,2.0,3.0,8.0,0.5,main_all_labels,random,10,random_repeated_stratified,fixed_0.5,85,21,48,11
0.7846153846153846,0.7577416589297659,0.7604395604395604,0.762962962962963,0.6923076923076923,0.8285714285714286,0.7894736842105264,0.7377049180327869,0.5269360584031189,0.20474761802227748,8.0,2.0,3.0,8.0,0.5187450239405544,main_all_labels,random,10,random_repeated_stratified,train_youden,85,21,48,11
0.6298701298701298,0.6305860685799012,0.7467532467532467,0.7500000000000001,0.8571428571428571,0.6363636363636365,0.7142857142857144,0.7792207792207793,0.5075426517188765,0.23815118779831854,6.0,4.0,2.0,10.0,0.5,main_all_labels,random,11,random_repeated_stratified,fixed_0.5,84,22,47,12
0.6298701298701298,0.6305860685799012,0.6038961038961039,0.6029411764705883,0.5714285714285714,0.6363636363636365,0.6250000000000001,0.5970149253731344,0.2080625946441197,0.23815118779831854,6.0,4.0,6.0,6.0,0.5835077156485041,main_all_labels,random,11,random_repeated_stratified,train_youden,84,22,47,12
0.830078125,0.846595171524126,0.8125,0.8333333333333334,1.0,0.6250000000000001,0.7692307692307694,0.8695652173913044,0.6933752452815364,0.20356063958273524,5.0,4.0,0.0,12.0,0.5,main_all_labels,random,12,random_repeated_stratified,fixed_0.5,85,21,47,12
0.830078125,0.846595171524126,0.765625,0.7708333333333334,0.8125,0.7187500000000001,0.783132530120482,0.7975460122699388,0.5342320757169741,0.20356063958273524,6.0,3.0,2.0,10.0,0.55666680693616,main_all_labels,random,12,random_repeated_stratified,train_youden,85,21,47,12
0.5147783251231526,0.6505377715913987,0.4408866995073891,0.45312499999999994,0.5714285714285714,0.3103448275862069,0.5000000000000001,0.5333333333333334,-0.12156613477096621,0.24997018981826974,3.0,6.0,5.0,7.0,0.5,main_all_labels,random,13,random_repeated_stratified,fixed_0.5,85,21,47,12
0.5147783251231526,0.6505377715913987,0.47413793103448276,0.47656249999999994,0.5,0.44827586206896564,0.5223880597014927,0.5109489051094891,-0.05155300190352452,0.24997018981826974,4.0,5.0,6.0,6.0,0.535508875134574,main_all_labels,random,13,random_repeated_stratified,train_youden,85,21,47,12
0.8103448275862069,0.8811421727146623,0.7133620689655172,0.7391304347826086,0.875,0.5517241379310346,0.7291666666666667,0.7954545454545454,0.45776853541905244,0.19767775639202406,5.0,4.0,2.0,10.0,0.5,main_all_labels,random,14,random_repeated_stratified,fixed_0.5,85,21,47,12
0.8103448275862069,0.8811421727146623,0.7295258620689655,0.7028985507246377,0.5625,0.896551724137931,0.8823529411764707,0.6870229007633588,0.4694354673117526,0.19767775639202406,8.0,1.0,6.0,6.0,0.5374149003806916,main_all_labels,random,14,random_repeated_stratified,train_youden,85,21,47,12
0.7679425837320575,0.7381290548209358,0.6076555023923444,0.6030534351145038,0.6363636363636364,0.5789473684210529,0.5223880597014926,0.5737704918032788,0.21258224061910042,0.20297654400676055,6.0,4.0,4.0,7.0,0.5,main_all_labels,random,15,random_repeated_stratified,fixed_0.5,85,21,48,11
0.7679425837320575,0.7381290548209358,0.673444976076555,0.6793893129770993,0.6363636363636364,0.7105263157894737,0.6140350877192983,0.625,0.3453238495627197,0.20297654400676055,7.0,3.0,4.0,7.0,0.5173949782426747,main_all_labels,random,15,random_repeated_stratified,train_youden,85,21,48,11
0.7857142857142857,0.799178410163145,0.6722689075630253,0.673913043478261,0.7857142857142857,0.5588235294117648,0.6470588235294119,0.7096774193548387,0.35415467090339336,0.20522312558771003,5.0,5.0,3.0,9.0,0.5,main_all_labels,random,16,random_repeated_stratified,fixed_0.5,84,22,47,12
0.7857142857142857,0.799178410163145,0.7247899159663866,0.7246376811594203,0.7142857142857143,0.735294117647059,0.735294117647059,0.7246376811594204,0.44957983193277296,0.20522312558771003,7.0,3.0,4.0,8.0,0.5500323325504716,main_all_labels,random,16,random_repeated_stratified,train_youden,84,22,47,12
0.6875,0.7777043587361534,0.6111111111111112,0.6865671641791045,1.0,0.22222222222222224,0.655737704918033,0.7920792079207922,0.38173222287591163,0.22106372693093823,2.0,7.0,0.0,12.0,0.5,main_all_labels,random,17,random_repeated_stratified,fixed_0.5,85,21,47,12
0.6875,0.7777043587361534,0.6527777777777777,0.6716417910447762,0.75,0.5555555555555556,0.7142857142857144,0.7317073170731708,0.30988989340045614,0.22106372693093823,5.0,4.0,4.0,8.0,0.5649233669258353,main_all_labels,random,17,random_repeated_stratified,train_youden,85,21,47,12
0.7662337662337662,0.8291191080213169,0.7867965367965368,0.786764705882353,0.7857142857142857,0.7878787878787881,0.7971014492753624,0.7913669064748202,0.5734069327237901,0.2033615670310623,7.0,2.0,3.0,9.0,0.5,main_all_labels,random,18,random_repeated_stratified,fixed_0.5,85,21,47,12
0.7662337662337662,0.8291191080213169,0.7867965367965368,0.786764705882353,0.7857142857142857,0.7878787878787881,0.7971014492753624,0.7913669064748202,0.5734069327237901,0.2033615670310623,7.0,2.0,3.0,9.0,0.5347461331129973,main_all_labels,random,18,random_repeated_stratified,train_youden,85,21,47,12
0.8214285714285714,0.8734091015798814,0.7071428571428572,0.7076923076923077,0.7142857142857143,0.7000000000000002,0.735294117647059,0.7246376811594204,0.4134988461218531,0.19098082579402756,6.0,3.0,3.0,9.0,0.5,main_all_labels,random,19,random_repeated_stratified,fixed_0.5,85,21,47,12
0.8214285714285714,0.8734091015798814,0.6714285714285715,0.6692307692307693,0.6428571428571429,0.7000000000000002,0.7142857142857144,0.6766917293233083,0.34200320095118825,0.19098082579402756,6.0,3.0,4.0,8.0,0.53835101208979,main_all_labels,random,19,random_repeated_stratified,train_youden,85,21,47,12
0.6902286902286903,0.7087227805624727,0.5987525987525988,0.5827338129496403,0.8461538461538461,0.35135135135135154,0.5339805825242719,0.6547619047619049,0.22494751732980267,0.2338260325647854,3.0,7.0,2.0,9.0,0.5,main_all_labels,random,20,random_repeated_stratified,fixed_0.5,85,21,48,11
0.6902286902286903,0.7087227805624727,0.6704781704781704,0.6690647482014388,0.6923076923076923,0.6486486486486488,0.6338028169014086,0.661764705882353,0.340320161886805,0.2338260325647854,6.0,4.0,3.0,8.0,0.5527757736105554,main_all_labels,random,20,random_repeated_stratified,train_youden,85,21,48,11
0.6984126984126985,0.7167826696259791,0.5595238095238095,0.5937500000000001,0.8333333333333334,0.2857142857142858,0.6000000000000001,0.6976744186046512,0.14285714285714285,0.22672266209549508,3.0,7.0,3.0,9.0,0.5,main_all_labels,random,21,random_repeated_stratified,fixed_0.5,84,22,47,12
