scenario,split_type,analysis_drug_name,model_label,faers_signal_class,treatment_confounded_candidate,treatment_confounded_category,recommended_label_status,mean_prob_positive,sd_prob_positive,median_prob_positive,n_predictions,mean_pred_0_5,mean_pred_train_youden
exclude_antihistamines_all,random,EPHEDRINE,1,positive_moderate,False,,retain,0.4843439583861821,0.07040000266685438,0.46987943501652557,20,0.25,0.2
exclude_antihistamines_all,random,ERGOCALCIFEROL,0,negative_expanded,False,,retain,0.48374257771727497,0.0674724990586201,0.46211007380916014,20,0.3,0.2
exclude_antihistamines_all,random,ETOPOSIDE,1,positive_moderate,False,,retain,0.5488271344998585,0.03734188911606789,0.5521192744340799,20,0.95,0.65
exclude_antihistamines_all,random,FENFLURAMINE,0,negative_expanded,False,,retain,0.5184705480207354,0.03955600898275978,0.5232310520353227,20,0.7,0.3
exclude_antihistamines_all,random,FLUCONAZOLE,0,negative_expanded,False,,retain,0.46006313998761483,0.03389765554717047,0.46521637443470976,20,0.1,0.05
exclude_antihistamines_all,random,FLUDARABINE,1,positive_moderate,False,,retain,0.4670980970478529,0.05873921583965866,0.4580598536674747,20,0.15,0.15
exclude_antihistamines_all,random,GABAPENTIN,1,positive_moderate,False,,retain,0.6625799408510047,0.047676592580300894,0.6611386914565298,20,1.0,1.0
exclude_antihistamines_all,random,GLYCOPYRROLATE,1,positive_moderate,False,,retain,0.5416672736430179,0.04514471524334789,0.5404258356096042,20,0.85,0.55
exclude_antihistamines_all,random,HYDROCHLOROTHIAZIDE,0,negative_expanded,False,,retain,0.5279871012234538,0.032555264272915996,0.5273400944565827,20,0.8,0.3
exclude_antihistamines_all,random,HYDROCORTISONE,1,positive_moderate,True,corticosteroid,label_review_positive_core_treatment,0.6224056124095838,0.048207975133123006,0.6182342658044051,20,1.0,0.9
exclude_antihistamines_all,random,HYDROMORPHONE,1,positive_moderate,False,,retain,0.5451215999658832,0.04688066540163575,0.555659139890394,20,0.85,0.6
exclude_antihistamines_all,random,IBRUTINIB,0,negative_moderate,False,,retain,0.3576629674343696,0.021368557809054146,0.35192271118483776,20,0.0,0.0
exclude_antihistamines_all,random,IFOSFAMIDE,1,positive_moderate,False,,retain,0.6541058660387666,0.03223231569403657,0.6581304536784373,20,1.0,1.0
exclude_antihistamines_all,random,IOPAMIDOL,1,positive_moderate,False,,retain,0.7160578849995637,0.026930247713080058,0.721826809183358,20,1.0,1.0
exclude_antihistamines_all,random,IOPROMIDE,1,positive_high,False,,retain,0.6906294160246963,0.030072896605230902,0.6885707964611938,20,1.0,1.0
exclude_antihistamines_all,random,ISOSORBIDE DINITRATE,1,positive_moderate,False,,retain,0.644174559734247,0.029789081598912526,0.6434137387510287,20,1.0,1.0
exclude_antihistamines_all,random,ISOTRETINOIN,0,negative_expanded,False,,retain,0.6506789511115284,0.03346348127111676,0.645241933642793,20,1.0,1.0
exclude_antihistamines_all,random,KETAMINE,1,positive_moderate,False,,retain,0.4465758145296867,0.03509408935151332,0.45745746649210683,20,0.05,0.0
exclude_antihistamines_all,random,LABETALOL,1,positive_moderate,False,,retain,0.5159644444251965,0.04269454277702893,0.5220361600782298,20,0.7,0.3
exclude_antihistamines_all,random,LACOSAMIDE,0,negative_expanded,False,,retain,0.5712240091385833,0.03760104347814828,0.5607087042341207,20,1.0,0.9
exclude_antihistamines_all,random,LETROZOLE,0,negative_expanded,False,,retain,0.4996459450518508,0.03963004528952515,0.5036057877593176,20,0.55,0.15
exclude_antihistamines_all,random,LEVOLEUCOVORIN,1,positive_moderate,False,,retain,0.5438475964687723,0.026501178533923198,0.5467571983113817,20,0.95,0.5
exclude_antihistamines_all,random,LEVONORGESTREL,0,negative_expanded,False,,retain,0.6374973259503298,0.04510322415153636,0.6308928293414595,20,1.0,1.0
exclude_antihistamines_all,random,LIDOCAINE,1,positive_high,False,,retain,0.6111581860930205,0.044084845553171485,0.6265809111834518,20,1.0,0.95
exclude_antihistamines_all,random,LISDEXAMFETAMINE,0,negative_expanded,False,,retain,0.5110790314559838,0.03487457428116579,0.5116683706646956,20,0.7,0.1
exclude_antihistamines_all,random,LORAZEPAM,0,negative_expanded,False,,retain,0.4588821398417437,0.044600436672982975,0.4594702593447937,20,0.2,0.1
exclude_antihistamines_all,random,MACITENTAN,0,negative_expanded,False,,retain,0.44237657605546044,0.036526426223862575,0.4401382229994286,20,0.05,0.0
exclude_antihistamines_all,random,MELPHALAN,1,positive_moderate,False,,retain,0.5694619844865404,0.042075102242012226,0.568678785126338,20,0.95,0.7
exclude_antihistamines_all,random,MESALAMINE,0,negative_expanded,False,,retain,0.6675278403389922,0.037358635883277085,0.6685403796186264,20,1.0,1.0
exclude_antihistamines_all,random,METAMIZOLE,1,positive_moderate,False,,retain,0.47803918996418504,0.02458684832595479,0.48396044830192086,20,0.2,0.05
exclude_antihistamines_all,random,METHAMPHETAMINE,0,negative_expanded,False,,retain,0.5346694035177542,0.05866057505765957,0.5441113410375327,20,0.7,0.35
exclude_antihistamines_all,random,METHYLPREDNISOLONE,1,positive_moderate,True,corticosteroid,label_review_positive_core_treatment,0.7475620638695537,0.036477544843059345,0.7450778360773707,20,1.0,1.0
exclude_antihistamines_all,random,MIDAZOLAM,1,positive_moderate,False,,retain,0.2503628786751726,0.03876029992687329,0.24967073068525164,20,0.0,0.0
exclude_antihistamines_all,random,MIRTAZAPINE,0,negative_expanded,False,,retain,0.4264858628295195,0.03928604613885114,0.4222036212133824,20,0.0,0.0
exclude_antihistamines_all,random,MORPHINE,1,positive_moderate,False,,retain,0.5680099381142988,0.04838746252828518,0.5649550367301758,20,0.9,0.75
exclude_antihistamines_all,random,NAPROXEN,1,positive_moderate,False,,retain,0.4622734656026076,0.04569331495613395,0.464572432540275,20,0.25,0.0
exclude_antihistamines_all,random,NEMTABRUTINIB,1,positive_moderate,False,,retain,0.37836209385928293,0.0311415921635388,0.376165167370896,20,0.0,0.0
exclude_antihistamines_all,random,NINTEDANIB,0,negative_expanded,False,,retain,0.516193178528409,0.03501778303277036,0.5227575297269389,20,0.6,0.45
exclude_antihistamines_all,random,OLANZAPINE,0,negative_moderate,False,,retain,0.24733213993100503,0.03503830665230085,0.25104803969462164,20,0.0,0.0
exclude_antihistamines_all,random,ONDANSETRON,1,positive_high,False,,retain,0.4028627441001359,0.029299829134020565,0.40419493516265514,20,0.0,0.0
exclude_antihistamines_all,random,OSIMERTINIB,0,negative_expanded,False,,retain,0.44934243213741815,0.04610282058285559,0.4553641306659531,20,0.1,0.0
exclude_antihistamines_all,random,PACLITAXEL,1,positive_high,False,,retain,0.5669380679994712,0.03212077996622438,0.575228954808749,20,1.0,0.7
exclude_antihistamines_all,random,PALBOCICLIB,0,negative_high,False,,retain,0.45268548517658597,0.0292846456082934,0.44931899253667806,20,0.05,0.0
exclude_antihistamines_all,random,PIMAVANSERIN,0,negative_high,False,,retain,0.45061008912430234,0.0302079399920401,0.4423696558058272,20,0.1,0.0
exclude_antihistamines_all,random,POMALIDOMIDE,0,negative_high,False,,retain,0.5152120027487783,0.03141308442020011,0.5176819432028965,20,0.65,0.35
