roc_auc,pr_auc,balanced_accuracy,accuracy,sensitivity,specificity,precision,f1,mcc,brier,tn,fp,fn,tp,threshold,model,fold,threshold_type,n_train,n_test,n_train_pos,n_test_pos
0.6,0.6396931558114305,0.5764705882352941,0.5874125874125875,0.8,0.35294117647058826,0.576923076923077,0.670391061452514,0.17149858514250876,0.28496968177725446,3.0,7.0,3.0,9.0,0.5,logistic_l2,1,fixed_0.5,84,22,47,12
0.6,0.6396931558114305,0.48921568627450984,0.4685314685314685,0.06666666666666667,0.911764705882353,0.45454545454545453,0.11627906976744186,-0.040422604172721956,0.28496968177725446,9.0,1.0,11.0,1.0,0.9808993203734717,logistic_l2,1,train_youden,84,22,47,12
0.6059113300492611,0.7237409505738484,0.562807881773399,0.5703125,0.6428571428571429,0.4827586206896553,0.6000000000000001,0.6206896551724139,0.12695172103571029,0.2986292471877916,4.0,5.0,5.0,7.0,0.5,logistic_l2,2,fixed_0.5,85,21,47,12
0.6059113300492611,0.7237409505738484,0.5357142857142857,0.49218749999999994,0.07142857142857142,1.0,1.0,0.13333333333333333,0.18352592565924458,0.2986292471877916,9.0,0.0,11.0,1.0,0.9792930830147121,logistic_l2,2,train_youden,85,21,47,12
0.6214285714285714,0.7204456217839017,0.5857142857142856,0.5846153846153846,0.5714285714285714,0.6000000000000001,0.6250000000000001,0.5970149253731344,0.17094086468945682,0.30237396020047275,5.0,4.0,6.0,6.0,0.5,logistic_l2,3,fixed_0.5,85,21,47,12
0.6214285714285714,0.7204456217839017,0.6071428571428571,0.5769230769230769,0.21428571428571427,1.0,1.0,0.35294117647058826,0.3343669275452117,0.30237396020047275,9.0,0.0,10.0,2.0,0.9812562388910956,logistic_l2,3,train_youden,85,21,47,12
0.7272727272727272,0.6873209823832567,0.6287878787878788,0.625,0.5,0.7575757575757578,0.6862745098039216,0.578512396694215,0.2659080117391554,0.2355865311205966,7.0,2.0,6.0,6.0,0.5,logistic_l2,4,fixed_0.5,85,21,47,12
0.7272727272727272,0.6873209823832567,0.45454545454545453,0.4411764705882353,0.0,0.9090909090909091,0.0,0.0,-0.22124883943435472,0.2355865311205966,8.0,1.0,12.0,0.0,0.9773816619569085,logistic_l2,4,train_youden,85,21,47,12
0.6306122448979592,0.7351251561438452,0.5642857142857143,0.5642857142857143,0.6428571428571429,0.4857142857142859,0.5555555555555556,0.5960264900662252,0.13018891098082397,0.2931842776874844,5.0,5.0,4.0,7.0,0.5,logistic_l2,5,fixed_0.5,85,21,48,11
0.6306122448979592,0.7351251561438452,0.5357142857142857,0.5357142857142857,0.07142857142857142,1.0,1.0,0.13333333333333333,0.1924500897298753,0.2931842776874844,10.0,0.0,10.0,1.0,0.9788388370003095,logistic_l2,5,train_youden,85,21,48,11
0.7597402597402596,0.8281673958458706,0.6558441558441559,0.661764705882353,0.8571428571428571,0.45454545454545464,0.6250000000000001,0.7228915662650603,0.34188172937891387,0.22691273440318552,4.0,6.0,1.0,11.0,0.5,logistic_l2,6,fixed_0.5,84,22,47,12
0.7597402597402596,0.8281673958458706,0.5714285714285714,0.5588235294117646,0.14285714285714285,1.0,1.0,0.25,0.2735506022160966,0.22691273440318552,10.0,0.0,10.0,2.0,0.9796096092197496,logistic_l2,6,train_youden,84,22,47,12
0.8833333333333334,0.9211562402738873,0.7261904761904762,0.7307692307692307,0.7857142857142857,0.6666666666666667,0.7333333333333334,0.7586206896551724,0.45647498109908324,0.1405017290433936,6.0,3.0,3.0,9.0,0.5,logistic_l2,7,fixed_0.5,85,21,47,12
0.8833333333333334,0.9211562402738873,0.6428571428571428,0.6153846153846153,0.2857142857142857,1.0,1.0,0.4444444444444444,0.39477101697586137,0.1405017290433936,9.0,0.0,9.0,3.0,0.9780863030830378,logistic_l2,7,train_youden,85,21,47,12
0.4958333333333333,0.6707825225314934,0.4270833333333333,0.4460431654676259,0.6666666666666666,0.18750000000000003,0.4901960784313726,0.5649717514124294,-0.16446613004342553,0.35997093270245023,2.0,7.0,5.0,7.0,0.5,logistic_l2,8,fixed_0.5,85,21,47,12
0.4958333333333333,0.6707825225314934,0.5197916666666667,0.48920863309352514,0.13333333333333333,0.90625,0.625,0.21978021978021978,0.06181878074757344,0.35997093270245023,8.0,1.0,11.0,1.0,0.9787179363964611,logistic_l2,8,train_youden,85,21,47,12
0.7526881720430108,0.742358038918209,0.7849462365591398,0.7737226277372262,0.6666666666666666,0.903225806451613,0.8928571428571429,0.7633587786259542,0.5770093817845818,0.20779060763782922,8.0,1.0,5.0,7.0,0.5,logistic_l2,9,fixed_0.5,85,21,47,12
0.7526881720430108,0.742358038918209,0.4516129032258065,0.4087591240875913,0.0,0.903225806451613,0.0,0.0,-0.23538282146793651,0.20779060763782922,8.0,1.0,12.0,0.0,0.9792168643392631,logistic_l2,9,train_youden,85,21,47,12
0.767032967032967,0.7762304474163011,0.798901098901099,0.8,0.7692307692307693,0.8285714285714286,0.8064516129032259,0.7874015748031497,0.599385083709236,0.20719475032264736,8.0,2.0,3.0,8.0,0.5,logistic_l2,10,fixed_0.5,85,21,48,11
0.767032967032967,0.7762304474163011,0.5,0.5185185185185185,0.0,1.0,0.0,0.0,0.0,0.20719475032264736,10.0,0.0,11.0,0.0,0.9785631860485304,logistic_l2,10,train_youden,85,21,48,11
0.7229437229437229,0.7392923723547693,0.6753246753246753,0.6764705882352942,0.7142857142857143,0.6363636363636365,0.6756756756756758,0.6944444444444445,0.3518700657449875,0.24924254205894253,6.0,4.0,4.0,8.0,0.5,logistic_l2,11,fixed_0.5,84,22,47,12
0.7229437229437229,0.7392923723547693,0.525974025974026,0.5147058823529411,0.14285714285714285,0.9090909090909092,0.625,0.23255813953488372,0.080582296402538,0.24924254205894253,9.0,1.0,11.0,1.0,0.9796519360649708,logistic_l2,11,train_youden,84,22,47,12
0.794921875,0.814393103814137,0.640625,0.6597222222222223,0.8125,0.4687500000000001,0.6565656565656567,0.7262569832402235,0.30151134457776374,0.18221269434694182,4.0,5.0,2.0,10.0,0.5,logistic_l2,12,fixed_0.5,85,21,47,12
0.794921875,0.814393103814137,0.5,0.44444444444444436,0.0,1.0,0.0,0.0,0.0,0.18221269434694182,9.0,0.0,12.0,0.0,0.9797478434275909,logistic_l2,12,train_youden,85,21,47,12
