model,threshold_type,metric,n,mean,sd,median,q025,q975
lightgbm,fixed_0.5,roc_auc,100,0.6710696896966636,0.13671227141499032,0.6613743279569892,0.4438218641114982,0.9857499999999997
lightgbm,fixed_0.5,pr_auc,100,0.7245875278373844,0.14172664116739422,0.728437466525159,0.4270814850506474,0.9872383158185838
lightgbm,fixed_0.5,balanced_accuracy,100,0.6139626382138405,0.12084864048085185,0.5902464471012858,0.4267329545454545,0.8947222222222221
lightgbm,fixed_0.5,accuracy,100,0.6144284499508941,0.12045783974369788,0.6053030303030302,0.41224910394265235,0.8675274725274724
lightgbm,fixed_0.5,sensitivity,100,0.7010526362535949,0.1859263383450718,0.7142857142857143,0.2895833333333333,1.0
lightgbm,fixed_0.5,specificity,100,0.5268726401740859,0.20507236529975523,0.511904761904762,0.20803929430633525,1.0
lightgbm,fixed_0.5,precision,100,0.6053836578785713,0.16620939675096405,0.6034026214749106,0.30284926470588236,1.0
lightgbm,fixed_0.5,f1,100,0.6308222816676754,0.14670043542117214,0.668903803131991,0.3225806451612903,0.837938596491228
lightgbm,fixed_0.5,mcc,100,0.23341219995795928,0.2404531952949018,0.19529026333048127,-0.1670229211172693,0.7416949172215417
lightgbm,fixed_0.5,brier,100,0.258949114248983,0.06929635085586172,0.25500350766394897,0.13729114244180418,0.3755670153947223
lightgbm,train_youden,roc_auc,100,0.6710696896966636,0.13671227141499032,0.6613743279569892,0.4438218641114982,0.9857499999999997
lightgbm,train_youden,pr_auc,100,0.7245875278373844,0.14172664116739422,0.728437466525159,0.4270814850506474,0.9872383158185838
lightgbm,train_youden,balanced_accuracy,100,0.6218686351180884,0.11910801397873352,0.6125210437710438,0.41871336996337,0.8947222222222221
lightgbm,train_youden,accuracy,100,0.623992501623759,0.11860257436846303,0.6193267259056732,0.4230153846153846,0.8748701298701297
lightgbm,train_youden,sensitivity,100,0.5988071778722458,0.1911384916368493,0.6076923076923078,0.23990384615384616,1.0
lightgbm,train_youden,specificity,100,0.6449300923639307,0.19599136085631427,0.6449579831932775,0.3131097560975611,1.0
lightgbm,train_youden,precision,100,0.6254503602697007,0.20139286538264933,0.6250000000000001,0.2,1.0
